;dLET;dLET100;MeV/nuc;z2/b2;CSDA [cm];Aluminum needed [cm];Rmk 1
;;;CSDA, 12 MeV/nuc, alu, He;;0.065;0.00553;← 5.5 to 4.3733 
HeV79;18.6;9.89;10.1;196;0.048;0.01697;0.01144
;18.6;9.89;10.1;196;0.048;0.01697;0.01144
;23;12.3;7.73;255;0.031;0.03491;0.02938
;23.8;12.7;7.39;266;0.028;0.03718;0.03165
;24;12.8;7.3;269;0.028;0.03777;0.03224
;29.9;16.1;5.5;354;0.017;0.04836;0.04283
;29.9;16.1;5.5;354;0.017;0.04836;0.04283
;38.1;20.6;4.07;482;0.010;0.05513;0.0496
;39.2;21.2;3.92;500;0.010;0.05576;0.050226
;39.4;21.3;3.9;504;0.010;0.05584;0.050307
;50;27.4;2.83;692;0.006;0.05975;0.05422
;51.9;28.5;2.72;729;0.005;0.06010;0.054571
;52.3;28.7;2.7;736;0.005;0.06016;0.054633
;58.9;32.5;2.33;864;0.004;0.06133;0.055801
;61.9;34.3;2.16;922;0.004;0.06180;0.056265
;73.9;41.4;1.65;1179;0.002;0.06297;0.057443
;74.6;41.8;1.62;1195;0.002;0.06304;0.057509
;74.6;41.8;1.62;1195;0.002;0.06304;0.057509
;90.8;51.2;1.27;1578;0.002;0.06375;0.058217
;90.8;51.2;1.27;1578;0.002;0.06375;0.058217
;;;CSDA, 12 MeV/nuc, alu, He;;0.065;;
HeHSG;18.5;9.83;10.2;195;0.04927;0.01614;0.01061
;18.6;9.89;10.1;196;0.04844;0.01697;0.01144
;23.6;12.6;7.48;263;0.02882;0.03659;0.03106
;24;12.8;7.3;269;0.02764;0.03777;0.03224
;32.4;17.4;4.99;392;0.02764;0.03777;0.03224
;33;17.8;4.89;401;0.01398;0.05143;0.0459
;46;25.1;3.12;617;0.00663;0.05878;0.05325
;46;25.1;3.12;617;0.00663;0.05878;0.05325
;53.8;29.6;2.61;765;0.004969;0.060441;0.054911
;54;29.7;2.6;769;0.004939;0.060471;0.054941
;70.3;39.2;1.79;1100;0.002756;0.062654;0.057124
;71;39.6;1.76;1120;0.002686;0.062724;0.057194
;;CSDA, 135 MeV/nuc, PMMA, C;;;3.752;0.0051;← 55.6 to 55.396
CV79;22.5;11.9;126;169;3.323;0.429;0.4239
;30;16.1;82.3;239;1.561;2.191;2.1859
;31;16.7;78.6;248;1.437;2.315;2.3099
;40.1;21.8;55.6;337;0.7723;2.9797;2.9746
;40.6;22;54.8;342;0.7524;2.9996;2.9945
;50.3;27.7;41.7;446;0.4598;3.2922;3.2871
;54.2;29.9;38;486;0.3889;3.3631;3.358
;57.6;31.6;35.4;520;0.3421;3.4099;3.4048
;60;32.9;33.5;544;0.3096;3.4424;3.4373
;78.5;42.5;25.2;736;0.1853;3.5667;3.5616
;79.4;42.9;24.9;745;0.1814;3.5706;3.5655
;80.6;43.4;24.5;756;0.1761;3.5759;3.5708
;88;47.4;21.9;836;0.1439;3.6081;3.603
;102;54.7;18.1;989;0.1023;3.6497;3.6446
;117;62.6;14.9;1160;0.07229;3.67971;3.67461
;127;67.8;13.9;1280;0.06391;3.68809;3.68299
;137;73.1;12.9;1401;0.056;3.696;3.6909
;142;75.6;12.4;1460;0.05223;3.69977;3.69467
;;CSDA, 12 MeV/nuc, alu, C12;;;0.02972;0.004019;← 5.09 to 2.947
;182;96.9;8.91;1960;0.01788;0.01184;0.007821
;206;110;7.6;2280;0.01384;0.01588;0.011861
;232;124;6.37;2640;0.01042;0.0193;0.015281
;255;136;5.64;2980;8.54E-03;0.021182;0.017163
;276;147;5.09;3290;7.35E-03;0.02237;0.018351
;360;193;3.42;4670;4.10E-03;0.025623;0.021604
;417;225;2.7;5750;2.96E-03;0.026761;0.022742
;432;233;2.55;6060;2.74E-03;0.026978;0.022959
;493;268;1.98;7300;1.98E-03;0.02774;0.023721
;502;273;1.92;7500;1.91E-03;0.027815;0.023796
