LET AvgEnergyPrim DLET DLETPrim TLET TLETPrim dQ dQPrim tQ tQPrim dZ2Beta2 dZ2Beta2Prim tZ2Beta2 tZ2Beta2Prim
137 1.218931e+01 1.442336e+03 1.449410e+03 7.024507e+02 1.427608e+03 3.769355e+00 3.071900e+00 1.097579e+00 3.017314e+00 1.781770e+03 1.457737e+03 5.201450e+02 1.432363e+03
276 5.167739e+00 2.761298e+03 2.759920e+03 2.721901e+03 2.735831e+03 7.376720e+00 7.159236e+00 7.312497e+00 7.084450e+00 3.462647e+03 3.361369e+03 3.432538e+03 3.326587e+03
40.15 5.548828e+01 3.994803e+02 4.126151e+02 2.392525e+02 4.125518e+02 7.351257e-01 6.477037e-01 2.702794e-01 6.488346e-01 3.682770e+02 3.288773e+02 1.365350e+02 3.294531e+02
78.452 2.509289e+01 8.406186e+02 7.810454e+02 4.204664e+02 7.803362e+02 2.555701e+00 1.435603e+00 6.292527e-01 1.436613e+00 1.216300e+03 6.956985e+02 3.025648e+02 6.962179e+02
151.5 1.092999e+01 1.612392e+03 1.611056e+03 7.891973e+02 1.568259e+03 4.477677e+00 3.602240e+00 1.295579e+00 3.448694e+00 2.111743e+03 1.704735e+03 6.124134e+02 1.633271e+03
182.1 8.787311e+00 1.821359e+03 1.818854e+03 1.812672e+03 1.816075e+03 4.271660e+00 4.107674e+00 4.225541e+00 4.107048e+00 2.016506e+03 1.940130e+03 1.994960e+03 1.939888e+03
129.9 1.333761e+01 1.344758e+03 1.335273e+03 6.742221e+02 1.321355e+03 3.467385e+00 2.769735e+00 9.995972e-01 2.738991e+00 1.641157e+03 1.317011e+03 4.745301e+02 1.302741e+03
57.6 3.630829e+01 5.902185e+02 5.802671e+02 3.229781e+02 5.801312e+02 1.817939e+00 9.903481e-01 4.618504e-01 9.918537e-01 8.725821e+02 4.883748e+02 2.251404e+02 4.891250e+02
232.1 6.456318e+00 2.321494e+03 2.320633e+03 2.308749e+03 2.310562e+03 5.856237e+00 5.640588e+00 5.882393e+00 5.618240e+00 2.754502e+03 2.654069e+03 2.766666e+03 2.643710e+03
432 2.943112e+00 4.330509e+03 4.330037e+03 4.110762e+03 4.122742e+03 1.563581e+01 1.557324e+01 1.423577e+01 1.418774e+01 7.309291e+03 7.280155e+03 6.657131e+03 6.634914e+03
