LET AvgEnergyPrim DLET DLETPrim TLET TLETPrim dQ dQPrim tQ tQPrim dZ2Beta2 dZ2Beta2Prim tZ2Beta2 tZ2Beta2Prim
137 1.205776e+01 1.476591e+03 1.471213e+03 7.111530e+02 1.443877e+03 3.912894e+00 3.134539e+00 1.099397e+00 3.064110e+00 1.848747e+03 1.486910e+03 5.211263e+02 1.454158e+03
276 5.173213e+00 2.757723e+03 2.757723e+03 2.733657e+03 2.733657e+03 7.151094e+00 7.151094e+00 7.076434e+00 7.076434e+00 3.357577e+03 3.357577e+03 3.322853e+03 3.322853e+03
40.15 5.546168e+01 3.948371e+02 4.127336e+02 2.426784e+02 4.127071e+02 6.315885e-01 6.480245e-01 2.567298e-01 6.491406e-01 3.200602e+02 3.290266e+02 1.300400e+02 3.295955e+02
78.452 2.507493e+01 8.090244e+02 7.816410e+02 3.969299e+02 7.809011e+02 3.289722e+00 1.436917e+00 7.321494e-01 1.437825e+00 1.558029e+03 6.963103e+02 3.504580e+02 6.967824e+02
151.5 1.097521e+01 1.629970e+03 1.590923e+03 7.987676e+02 1.558883e+03 5.926274e+00 3.465289e+00 1.659591e+00 3.378841e+00 2.786549e+03 1.640951e+03 7.819568e+02 1.600738e+03
182.1 8.784615e+00 1.819332e+03 1.819332e+03 1.816514e+03 1.816514e+03 4.109076e+00 4.109076e+00 4.108321e+00 4.108321e+00 1.940784e+03 1.940784e+03 1.940480e+03 1.940480e+03
129.9 1.335952e+01 1.324739e+03 1.333503e+03 6.849714e+02 1.319664e+03 3.262779e+00 2.764676e+00 1.013804e+00 2.734130e+00 1.545818e+03 1.314654e+03 4.816053e+02 1.300477e+03
57.6 3.631543e+01 5.677493e+02 5.801467e+02 3.361520e+02 5.800249e+02 9.776261e-01 9.900902e-01 4.057980e-01 9.916243e-01 4.813771e+02 4.882547e+02 2.000495e+02 4.890182e+02
232.1 6.458015e+00 2.321592e+03 2.320052e+03 2.310614e+03 2.310077e+03 6.334647e+00 5.638681e+00 6.468885e+00 5.616655e+00 2.977333e+03 2.653181e+03 3.039674e+03 2.642972e+03
432 2.945835e+00 4.324859e+03 4.326488e+03 4.089555e+03 4.119951e+03 1.554151e+01 1.554359e+01 1.408353e+01 1.416590e+01 7.265365e+03 7.266343e+03 6.586180e+03 6.624741e+03
416.6 3.072104e+00 4.168817e+03 4.168817e+03 3.994872e+03 3.994872e+03 1.429459e+01 1.429459e+01 1.323634e+01 1.323634e+01 6.684627e+03 6.684627e+03 6.191801e+03 6.191801e+03
60 3.524546e+01 5.981379e+02 5.946993e+02 3.175577e+02 5.945337e+02 2.052124e+00 1.020363e+00 5.088711e-01 1.021855e+00 9.815692e+02 5.023492e+02 2.463116e+02 5.030930e+02
205.821 7.521750e+00 2.057439e+03 2.057439e+03 2.052085e+03 2.052085e+03 4.814655e+00 4.814655e+00 4.807067e+00 4.807067e+00 2.269399e+03 2.269399e+03 2.265913e+03 2.265913e+03
127 1.387954e+01 1.285048e+03 1.286125e+03 6.204792e+02 1.275728e+03 4.486219e+00 2.644460e+00 1.232633e+00 2.623051e+00 2.115524e+03 1.258667e+03 5.829722e+02 1.248745e+03
254.7 5.730630e+00 2.547091e+03 2.547091e+03 2.530960e+03 2.530960e+03 6.399097e+00 6.399097e+00 6.320829e+00 6.355233e+00 3.007339e+03 3.007339e+03 2.970789e+03 2.986959e+03
102 1.845204e+01 1.037161e+03 1.008345e+03 5.576861e+02 1.005354e+03 2.139472e+00 1.962968e+00 6.741542e-01 1.959417e+00 1.022647e+03 9.412857e+02 3.232577e+02 9.396811e+02
117 1.616857e+01 1.175112e+03 1.127005e+03 6.001709e+02 1.121600e+03 2.547882e+00 2.251378e+00 8.332576e-01 2.241939e+00 1.212850e+03 1.075601e+03 3.978592e+02 1.071254e+03
79.4 2.449440e+01 8.088947e+02 7.963917e+02 3.845030e+02 7.957426e+02 3.457756e+00 1.470424e+00 6.971034e-01 1.471613e+00 1.636165e+03 7.119137e+02 3.330701e+02 7.125161e+02
40.599 5.491022e+01 3.976679e+02 4.160217e+02 2.238570e+02 4.159954e+02 6.309424e-01 6.545381e-01 2.440413e-01 6.556661e-01 3.196461e+02 3.320578e+02 1.237015e+02 3.326322e+02
359.5 3.682778e+00 3.592638e+03 3.592638e+03 3.505720e+03 3.505720e+03 1.076433e+01 1.076433e+01 1.030443e+01 1.036563e+01 5.040425e+03 5.040425e+03 4.826115e+03 4.854781e+03
54.522 3.794011e+01 5.427713e+02 5.595905e+02 3.070166e+02 5.591931e+02 9.298831e-01 9.477282e-01 3.338242e-01 9.491645e-01 4.589339e+02 4.685323e+02 1.649092e+02 4.692502e+02
31 7.425779e+01 3.183140e+02 3.285581e+02 1.984216e+02 3.285502e+02 5.891097e-01 4.839515e-01 2.357847e-01 4.848092e-01 3.002216e+02 2.526947e+02 1.214957e+02 2.531434e+02
141.82 1.155685e+01 1.507867e+03 1.521523e+03 7.063072e+02 1.494194e+03 4.018514e+00 3.270344e+00 1.075147e+00 3.199409e+00 1.897866e+03 1.550159e+03 5.089555e+02 1.517171e+03
501.5 2.518486e+00 5.028734e+03 5.028734e+03 4.628907e+03 4.628907e+03 2.778378e+01 2.778378e+01 2.502732e+01 2.502732e+01 1.296718e+04 1.296718e+04 1.168341e+04 1.168341e+04
88 2.078703e+01 9.341389e+02 9.125268e+02 5.212383e+02 9.107811e+02 1.820146e+00 1.738032e+00 5.851247e-01 1.737036e+00 8.739810e+02 8.365336e+02 2.816517e+02 8.361187e+02
30 7.879878e+01 3.035857e+02 3.137950e+02 2.037527e+02 3.137875e+02 4.414957e-01 4.560588e-01 2.225552e-01 4.568673e-01 2.320176e+02 2.397240e+02 1.169334e+02 2.401498e+02
22.5 1.234557e+02 2.248636e+02 2.271041e+02 2.002169e+02 2.271036e+02 2.883128e-01 2.910790e-01 2.343544e-01 2.916029e-01 1.615065e+02 1.630789e+02 1.311734e+02 1.633726e+02
50.29 4.088264e+01 5.256273e+02 5.260236e+02 2.836809e+02 5.258955e+02 3.925166e+00 8.793271e-01 6.169813e-01 8.807461e-01 1.854013e+03 4.366883e+02 2.965138e+02 4.373982e+02
493.06 2.575267e+00 4.932938e+03 4.932512e+03 4.561706e+03 4.561918e+03 2.411457e+01 2.387512e+01 2.055437e+01 1.992456e+01 1.125822e+04 1.114673e+04 9.600118e+03 9.306818e+03
80.6 2.388530e+01 8.294635e+02 8.134322e+02 4.154984e+02 8.125581e+02 1.646915e+00 1.508756e+00 5.281523e-01 1.509511e+00 7.928212e+02 7.297637e+02 2.550037e+02 7.301640e+02
