PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
1.500 3.714931e+01 1.745834e-01 1.682937e-01 1.722766e-01 8.453040e+01 1.581706e+01 1.675484e+01 1.635312e+01 1.580531e+01 1.607071e+01 7.914173e+00 2.712039e-02 2.979086e-02 1.068069e-01 2.714436e-02 2.784894e-02 2.845382e+02 1.338473e+01 1.462819e+01 1.509717e+01 1.339726e+01 1.372535e+01
1.500 3.715074e+01 1.742750e-01 1.698658e-01 1.736894e-01 1.900247e+01 1.582261e+01 1.701611e+01 1.612453e+01 1.580382e+01 1.605249e+01 6.356966e-01 2.713050e-02 3.969115e-02 4.380021e-02 2.714079e-02 2.833411e-02 3.409107e+01 1.338944e+01 1.661299e+01 1.402957e+01 1.339559e+01 1.377168e+01
1.500 3.714817e+01 1.759962e-01 1.704006e-01 1.736710e-01 3.501325e+01 1.582639e+01 1.653986e+01 1.629268e+01 1.580535e+01 1.600941e+01 5.023546e+00 2.714028e-02 2.928615e-02 1.028482e-01 2.714436e-02 2.768286e-02 1.066402e+02 1.339399e+01 1.439157e+01 1.485452e+01 1.339725e+01 1.364789e+01
1.500 3.714713e+01 1.696670e-01 1.645291e-01 1.691909e-01 1.958664e+01 1.627417e+01 1.834081e+01 1.616419e+01 1.580511e+01 1.611211e+01 4.770142e-02 2.713177e-02 4.372746e-02 2.833438e-02 2.714348e-02 2.858059e-02 2.024073e+01 1.339003e+01 1.839334e+01 1.376158e+01 1.339684e+01 1.388497e+01
1.500 3.714651e+01 1.694595e-01 1.645718e-01 1.688841e-01 2.022484e+01 1.581998e+01 1.693877e+01 1.612410e+01 1.580513e+01 1.604856e+01 2.417917e+00 2.712513e-02 3.105884e-02 6.401232e-02 2.714339e-02 2.781581e-02 5.711411e+01 1.338693e+01 1.518643e+01 1.412688e+01 1.339680e+01 1.370857e+01
1.500 3.714847e+01 1.733636e-01 1.687325e-01 1.725142e-01 2.608930e+01 1.632553e+01 1.717576e+01 1.614736e+01 1.580476e+01 1.604852e+01 2.303794e-01 2.713248e-02 2.971149e-02 3.239477e-02 2.714283e-02 2.778813e-02 4.725788e+01 1.339036e+01 1.458848e+01 1.397446e+01 1.339654e+01 1.369686e+01
1.500 3.714796e+01 1.692364e-01 1.629240e-01 1.671314e-01 4.080927e+01 1.582360e+01 1.753707e+01 1.633246e+01 1.580495e+01 1.608971e+01 2.985581e-01 2.713275e-02 3.391775e-02 3.301117e-02 2.714323e-02 2.799002e-02 7.354624e+01 1.339048e+01 1.646580e+01 1.426220e+01 1.339673e+01 1.378767e+01
1.500 3.714442e+01 1.698385e-01 1.658401e-01 1.696321e-01 2.102497e+01 1.612301e+01 1.796338e+01 1.610539e+01 1.580982e+01 1.606586e+01 5.313127e+00 2.720801e-02 5.201548e-02 1.005873e-01 2.715736e-02 2.892969e-02 7.714055e+01 1.342553e+01 1.955163e+01 1.440948e+01 1.340331e+01 1.387188e+01
1.500 3.715319e+01 1.724032e-01 1.681932e-01 1.718286e-01 2.030111e+01 1.598722e+01 1.703242e+01 1.609360e+01 1.580274e+01 1.602897e+01 4.509937e-02 2.711445e-02 3.096939e-02 2.767545e-02 2.713844e-02 2.777126e-02 2.112015e+01 1.338196e+01 1.514143e+01 1.362442e+01 1.339450e+01 1.368753e+01
1.500 3.714694e+01 1.704578e-01 1.656961e-01 1.690656e-01 2.813085e+01 1.581863e+01 1.660094e+01 1.619338e+01 1.580562e+01 1.602156e+01 2.466908e+00 2.712267e-02 2.948871e-02 6.451961e-02 2.714470e-02 2.771760e-02 7.328796e+01 1.338579e+01 1.448503e+01 1.424571e+01 1.339741e+01 1.366403e+01
