PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
2.560 6.204616e+00 1.627265e-01 1.599897e-01 1.626288e-01 1.121221e+02 1.095608e+02 1.117175e+02 7.898485e+01 7.831770e+01 7.894107e+01 6.005692e-01 5.691827e-01 5.992552e-01 2.678961e-01 2.672862e-01 2.755876e-01 2.048040e+02 1.966005e+02 2.041727e+02 1.050957e+02 1.062031e+02 1.081028e+02
2.560 6.228060e+00 1.629428e-01 1.601245e-01 1.626732e-01 1.202424e+02 1.088212e+02 1.112357e+02 7.863122e+01 7.787788e+01 7.848459e+01 2.023424e+00 5.463574e-01 5.851306e-01 3.249702e-01 2.594113e-01 2.693311e-01 2.569064e+02 1.929454e+02 2.023246e+02 1.051655e+02 1.047836e+02 1.068804e+02
2.560 6.213661e+00 1.648517e-01 1.624110e-01 1.648517e-01 1.116632e+02 1.101376e+02 1.116632e+02 7.893720e+01 7.840504e+01 7.893720e+01 5.856920e-01 5.663101e-01 5.856920e-01 2.639637e-01 2.661493e-01 2.722585e-01 2.023281e+02 1.974996e+02 2.023281e+02 1.044733e+02 1.062935e+02 1.077563e+02
2.560 6.239513e+00 1.621082e-01 1.593490e-01 1.621082e-01 1.114174e+02 1.093074e+02 1.114174e+02 7.863518e+01 7.801385e+01 7.863518e+01 5.670392e-01 5.389640e-01 5.670392e-01 2.577518e-01 2.578233e-01 2.654585e-01 1.998821e+02 1.926377e+02 1.998821e+02 1.035772e+02 1.048488e+02 1.066741e+02
2.560 6.195209e+00 1.645650e-01 1.621465e-01 1.645650e-01 1.138551e+02 1.119236e+02 1.138551e+02 7.942167e+01 7.885977e+01 7.942167e+01 6.178122e-01 5.910848e-01 6.178122e-01 2.717224e-01 2.722478e-01 2.795907e-01 2.105959e+02 2.037894e+02 2.105959e+02 1.063197e+02 1.076928e+02 1.093985e+02
2.560 6.207616e+00 1.635572e-01 1.610171e-01 1.635572e-01 1.118742e+02 1.100047e+02 1.118742e+02 7.891860e+01 7.835515e+01 7.891860e+01 5.780352e-01 5.584928e-01 5.780352e-01 2.607847e-01 2.628375e-01 2.681387e-01 2.026234e+02 1.968301e+02 2.026234e+02 1.044327e+02 1.058941e+02 1.073776e+02
2.560 6.218972e+00 1.632962e-01 1.606158e-01 1.632962e-01 1.132502e+02 1.107897e+02 1.132502e+02 7.905982e+01 7.839747e+01 7.905982e+01 6.059476e-01 5.727979e-01 6.059476e-01 2.664965e-01 2.663451e-01 2.750686e-01 2.084806e+02 1.998116e+02 2.084806e+02 1.050815e+02 1.064177e+02 1.084615e+02
2.560 6.225104e+00 1.615150e-01 1.591804e-01 1.615150e-01 1.117795e+02 1.099568e+02 1.117795e+02 7.871862e+01 7.817798e+01 7.871862e+01 5.821179e-01 5.557831e-01 5.821179e-01 2.613699e-01 2.618619e-01 2.691373e-01 2.029287e+02 1.964126e+02 2.029287e+02 1.041336e+02 1.055737e+02 1.072283e+02
2.560 6.209929e+00 1.626517e-01 1.601304e-01 1.624952e-01 1.111494e+02 1.090848e+02 1.111494e+02 7.885517e+01 7.828466e+01 7.885517e+01 5.757121e-01 5.496456e-01 5.757121e-01 2.622678e-01 2.625899e-01 2.694140e-01 1.999579e+02 1.929295e+02 1.999579e+02 1.044192e+02 1.055837e+02 1.072644e+02
2.560 6.246625e+00 1.611966e-01 1.585141e-01 1.611966e-01 1.116053e+02 1.092263e+02 1.116053e+02 7.846192e+01 7.782341e+01 7.846192e+01 6.224126e-01 5.937995e-01 6.224126e-01 2.696166e-01 2.708622e-01 2.785636e-01 2.080827e+02 2.002375e+02 2.080827e+02 1.044423e+02 1.060197e+02 1.079082e+02
