PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
2.0 8.446174e+01 1.778174e-02 1.727144e-02 1.773755e-02 1.862112e+01 8.311040e+00 9.290334e+00 8.652122e+00 8.260693e+00 8.576835e+00 1.418183e+00 1.191101e-02 1.762187e-02 3.516974e-02 1.193272e-02 1.293977e-02 5.034691e+01 6.306909e+00 8.182497e+00 6.964998e+00 6.318389e+00 6.715441e+00
2.0 8.446245e+01 1.775168e-02 1.724438e-02 1.771870e-02 1.416983e+01 8.301569e+00 9.315285e+00 8.633461e+00 8.260640e+00 8.586530e+00 6.810151e-01 1.191095e-02 1.798081e-02 2.084112e-02 1.193261e-02 1.295943e-02 3.301652e+01 6.306885e+00 8.364384e+00 6.765019e+00 6.318342e+00 6.730431e+00
2.0 8.446226e+01 1.775862e-02 1.725368e-02 1.772895e-02 1.223288e+01 8.289213e+00 9.212482e+00 8.641762e+00 8.260654e+00 8.586520e+00 2.127816e+00 1.191095e-02 1.823083e-02 4.932117e-02 1.193264e-02 1.302514e-02 4.134589e+01 6.306882e+00 8.208292e+00 7.066671e+00 6.318355e+00 6.731311e+00
2.0 8.446172e+01 1.775131e-02 1.724616e-02 1.771643e-02 1.398929e+01 8.466309e+00 9.415980e+00 8.642782e+00 8.260695e+00 8.584301e+00 9.320849e-01 1.191112e-02 1.690326e-02 2.794965e-02 1.193272e-02 1.289489e-02 3.101373e+01 6.306960e+00 8.100913e+00 6.836327e+00 6.318391e+00 6.717401e+00
2.0 8.446193e+01 1.776980e-02 1.725978e-02 1.772450e-02 1.687986e+01 8.387460e+00 9.195037e+00 8.655569e+00 8.260679e+00 8.572973e+00 3.085391e+00 1.191104e-02 1.602235e-02 6.248656e-02 1.193269e-02 1.283818e-02 6.667344e+01 6.306926e+00 7.738813e+00 7.222602e+00 6.318377e+00 6.693426e+00
2.0 8.446230e+01 1.776238e-02 1.724314e-02 1.771230e-02 2.060906e+01 8.290385e+00 9.286365e+00 8.669205e+00 8.260652e+00 8.581526e+00 2.319959e+00 1.191100e-02 1.767036e-02 4.770385e-02 1.193264e-02 1.296062e-02 7.089532e+01 6.306908e+00 8.215131e+00 7.159241e+00 6.318353e+00 6.723375e+00
2.0 8.446191e+01 1.776308e-02 1.723177e-02 1.770065e-02 2.172181e+01 8.260721e+00 9.087846e+00 8.693453e+00 8.260680e+00 8.581155e+00 3.274323e+00 1.191105e-02 1.542480e-02 6.323282e-02 1.193269e-02 1.280430e-02 9.531165e+01 6.306929e+00 7.658762e+00 7.455990e+00 6.318378e+00 6.697635e+00
2.0 8.446223e+01 1.775793e-02 1.725264e-02 1.771575e-02 1.588018e+01 8.262685e+00 9.086653e+00 8.644233e+00 8.260657e+00 8.571924e+00 1.476095e+00 1.191097e-02 1.531454e-02 3.684139e-02 1.193265e-02 1.273315e-02 4.380935e+01 6.306894e+00 7.700588e+00 6.921045e+00 6.318357e+00 6.683660e+00
2.0 8.446185e+01 1.774453e-02 1.722898e-02 1.770312e-02 1.558867e+01 8.286495e+00 9.197187e+00 8.656267e+00 8.260685e+00 8.585403e+00 1.122662e+00 1.191108e-02 1.860043e-02 3.003189e-02 1.193270e-02 1.308634e-02 -nan 6.306945e+00 8.205584e+00 -nan 6.318382e+00 6.735214e+00
2.0 8.446258e+01 1.773560e-02 1.724604e-02 1.770676e-02 1.222061e+01 8.375977e+00 9.142247e+00 8.612994e+00 8.260631e+00 8.567192e+00 7.780747e-02 1.191088e-02 1.602818e-02 1.398573e-02 1.193260e-02 1.286842e-02 1.720952e+01 6.306852e+00 7.636501e+00 6.673171e+00 6.318334e+00 6.688310e+00
2.0 8.446163e+01 1.776564e-02 1.725299e-02 1.771982e-02 2.147297e+01 8.301141e+00 9.269259e+00 8.655849e+00 8.260702e+00 8.579605e+00 1.333840e+00 1.191109e-02 1.848834e-02 3.026458e-02 1.193273e-02 1.305867e-02 5.819252e+01 6.306948e+00 8.246398e+00 6.937892e+00 6.318397e+00 6.729502e+00
2.0 8.446157e+01 1.776582e-02 1.725052e-02 1.772100e-02 1.836387e+01 8.282237e+00 9.166773e+00 8.652347e+00 8.260706e+00 8.580955e+00 2.337270e-01 1.191110e-02 1.609301e-02 1.401040e-02 1.193274e-02 1.285910e-02 3.461716e+01 6.306951e+00 7.845996e+00 6.722629e+00 6.318401e+00 6.705869e+00
