PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.216 5.977882e+00 3.037409e-02 2.986355e-02 3.037409e-02 1.379383e+02 1.357608e+02 1.379383e+02 8.798635e+01 8.729510e+01 8.798635e+01 5.124444e-01 0.000000e+00 8.407836e-01 2.335410e-01 0.000000e+00 3.506008e-01 2.815384e+02 2.747107e+02 2.815384e+02 1.194967e+02 1.292671e+02 1.310948e+02
4.216 5.951196e+00 3.021749e-02 2.982303e-02 3.021749e-02 1.345717e+02 1.334747e+02 1.345717e+02 8.762104e+01 8.719082e+01 8.762104e+01 4.920244e-01 0.000000e+00 7.909827e-01 2.331536e-01 0.000000e+00 3.398011e-01 2.680415e+02 2.645026e+02 2.680415e+02 1.186555e+02 1.276288e+02 1.288646e+02
4.216 5.974929e+00 3.059981e-02 3.012867e-02 3.058591e-02 1.394746e+02 1.372686e+02 1.392691e+02 8.785751e+01 8.723478e+01 8.782381e+01 5.266447e-01 0.000000e+00 9.068898e-01 2.359838e-01 0.000000e+00 3.653469e-01 2.946057e+02 2.855431e+02 2.943528e+02 1.220885e+02 1.304247e+02 1.327165e+02
4.216 5.944501e+00 3.100117e-02 3.038774e-02 3.095302e-02 1.424338e+02 1.364742e+02 1.393566e+02 8.878300e+01 8.777261e+01 8.864854e+01 5.436182e-01 0.000000e+00 8.860392e-01 2.376124e-01 0.000000e+00 3.666703e-01 2.994236e+02 2.790084e+02 2.893603e+02 1.229532e+02 1.309711e+02 1.337611e+02
4.216 5.954713e+00 3.029584e-02 2.990346e-02 3.029584e-02 1.379357e+02 1.364658e+02 1.379357e+02 8.845965e+01 8.795009e+01 8.845965e+01 5.085194e-01 0.000000e+00 8.214170e-01 2.359864e-01 0.000000e+00 3.495768e-01 2.774692e+02 2.737834e+02 2.774692e+02 1.203892e+02 1.302849e+02 1.314833e+02
4.216 5.928338e+00 3.080329e-02 3.018510e-02 3.080329e-02 1.400492e+02 1.366741e+02 1.400492e+02 8.904003e+01 8.810694e+01 8.904003e+01 5.182156e-01 0.000000e+00 9.255137e-01 2.389612e-01 0.000000e+00 3.806449e-01 2.951298e+02 2.828745e+02 2.951298e+02 1.249562e+02 1.326331e+02 1.357813e+02
4.216 5.993182e+00 3.026565e-02 2.987669e-02 3.026565e-02 1.385734e+02 1.373343e+02 1.385734e+02 8.747339e+01 8.703427e+01 8.747339e+01 5.178913e-01 0.000000e+00 9.353707e-01 2.325836e-01 0.000000e+00 3.748249e-01 2.960947e+02 2.913010e+02 2.960947e+02 1.220021e+02 1.316924e+02 1.331277e+02
4.216 5.957009e+00 3.090200e-02 3.025501e-02 3.085040e-02 1.388124e+02 1.367476e+02 1.388124e+02 8.847523e+01 8.770859e+01 8.847523e+01 5.139144e-01 0.000000e+00 8.579319e-01 2.370929e-01 0.000000e+00 3.582262e-01 2.845488e+02 2.785989e+02 2.845488e+02 1.218232e+02 1.305898e+02 1.325655e+02
4.216 5.940513e+00 3.065853e-02 3.028339e-02 3.065853e-02 1.402553e+02 1.391388e+02 1.402553e+02 8.897219e+01 8.855769e+01 8.897219e+01 5.247306e-01 0.000000e+00 8.713244e-01 2.397084e-01 0.000000e+00 3.633673e-01 2.886047e+02 2.846148e+02 2.886047e+02 1.230303e+02 1.326856e+02 1.339380e+02
4.216 5.932895e+00 3.110629e-02 3.030526e-02 3.086541e-02 1.385611e+02 1.363616e+02 1.385611e+02 8.859772e+01 8.788798e+01 8.859772e+01 5.111527e-01 0.000000e+00 8.728278e-01 2.375259e-01 0.000000e+00 3.655838e-01 2.852297e+02 2.781825e+02 2.852297e+02 1.227714e+02 1.313158e+02 1.333706e+02
