PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.405 2.396996e+00 5.633016e-04 5.170815e-04 5.633016e-04 3.337112e+02 3.591266e+02 3.337112e+02 1.572792e+02 2.209501e+02 1.572792e+02 1.943567e+00 2.107146e+00 1.943567e+00 6.494462e-03 1.055037e+00 7.172007e-01 8.144975e+02 8.825087e+02 8.144975e+02 2.825812e+00 4.573107e+02 3.120619e+02
4.405 2.762841e+00 3.227013e-04 1.323025e-04 2.649892e-04 1.071488e+02 1.442135e+02 1.067828e+02 7.201353e+01 1.342892e+02 6.967608e+01 3.181814e-01 4.535548e-01 3.186614e-01 1.983719e-03 4.120351e-01 1.922712e-01 1.488310e+02 2.117626e+02 1.490458e+02 9.309911e-01 1.924978e+02 9.025836e+01
4.405 2.366005e+00 3.345249e-04 2.039407e-04 2.870649e-04 2.249637e+02 2.975297e+02 2.249637e+02 8.368598e+01 2.027676e+02 8.368598e+01 1.066752e+00 1.457585e+00 1.066752e+00 2.561344e-03 8.558685e-01 2.970460e-01 4.729105e+02 6.448820e+02 4.729105e+02 1.164063e+00 3.844892e+02 1.349995e+02
4.405 3.044251e+00 4.279086e-04 3.633506e-04 4.279086e-04 1.465992e+02 1.653630e+02 1.465992e+02 9.461255e+01 1.380628e+02 9.461255e+01 4.942822e-01 5.661863e-01 4.942822e-01 3.155459e-03 4.428136e-01 2.871687e-01 2.300137e+02 2.633345e+02 2.300137e+02 1.474193e+00 2.064060e+02 1.341618e+02
4.405 2.073511e+00 3.997087e-04 3.039766e-04 3.997087e-04 1.536400e+02 1.697335e+02 1.536400e+02 1.083416e+02 1.633872e+02 1.083416e+02 4.981011e-01 5.587525e-01 4.981011e-01 3.262622e-03 5.319737e-01 3.357166e-01 2.324243e+02 2.605947e+02 2.324243e+02 1.525181e+00 2.481875e+02 1.569378e+02
4.405 3.589502e+00 5.192227e-04 2.491627e-04 3.692356e-04 2.717308e+02 2.131423e+02 1.752154e+02 1.477218e+02 1.491653e+02 1.135337e+02 2.897873e+00 5.006998e+00 3.465159e+00 1.365103e-02 2.874821e+00 1.548856e+00 6.400180e+02 8.532278e+02 6.162467e+02 2.866201e+00 4.785518e+02 2.888970e+02
4.405 2.334040e+00 4.777525e-04 4.285818e-04 4.777525e-04 3.090276e+02 3.383961e+02 3.090276e+02 1.642656e+02 2.158465e+02 1.642656e+02 4.310436e+00 4.790833e+00 4.310436e+00 1.453074e-02 2.999664e+00 2.127114e+00 1.058791e+03 1.173596e+03 1.058791e+03 3.171517e+00 6.437567e+02 4.642693e+02
4.405 2.025341e+00 4.662756e-04 3.931947e-04 4.662756e-04 2.881827e+02 3.306826e+02 2.881827e+02 1.354067e+02 2.313466e+02 1.354067e+02 4.123875e+00 4.862807e+00 4.123875e+00 1.431751e-02 3.374885e+00 1.714736e+00 9.782218e+02 1.147068e+03 9.782218e+02 3.104183e+00 7.061383e+02 3.717722e+02
4.405 2.876046e+00 1.966392e-04 1.201342e-04 1.966392e-04 1.420585e+02 1.921302e+02 1.420585e+02 7.892019e+01 1.532619e+02 7.892019e+01 4.796529e-01 6.814047e-01 4.796529e-01 1.479239e-03 5.119966e-01 2.339202e-01 2.233665e+02 3.168378e+02 2.233665e+02 6.922283e-01 2.384808e+02 1.094659e+02
4.405 1.710617e+00 4.311946e-04 3.419869e-04 4.311946e-04 2.270289e+02 2.590363e+02 2.270289e+02 1.360642e+02 2.079457e+02 1.360642e+02 3.717048e+00 4.607020e+00 3.717048e+00 1.338843e-02 3.180082e+00 1.721831e+00 7.728837e+02 9.372211e+02 7.728837e+02 2.749028e+00 6.133477e+02 3.535413e+02
