PMMA,AvgEnergyPrim,Dose,DosePrim,DoseProt,DLET,DLETPrim,DLETProt,TLET,TLETPrim,TLETProt,dQ,dQPrim,dQProt,tQ,tQPrim,tQProt,dZeff2Beta2,dZeff2Beta2Prim,dZeff2Beta2Prot,tZeff2Beta2,tZeff2Beta2Prim,tZeff2Beta2Prot
0.1,76.6231,0.1331139,0.1289758,0.1309622,37.37688,8.900459,9.796274,9.181531,8.899254,9.004467,4.526343,0.01313174,0.01987349,0.05089292,0.01315312,0.01354444,141.1117,6.874501,8.857554,7.918912,6.885828,7.027524
0.1,76.62257,0.1302372,0.1272373,0.1293662,16.78023,8.900652,9.797027,9.07986,8.899299,9.005777,3.955917,0.0131321,0.01748315,0.04297644,0.0131532,0.01344333,64.15396,6.874672,8.634286,7.436687,6.885868,7.017311
0.1,76.62205,0.1298883,0.1274376,0.129363,23.55351,8.900698,9.452032,9.040741,8.899347,8.997573,1.782125,0.01313219,0.01461845,0.02313969,0.01315329,0.01339369,81.78189,6.874712,7.566675,7.216622,6.88591,6.997835
0.1,76.62292,0.1316432,0.1274939,0.1296092,39.72334,8.90071,9.879004,9.166918,8.899268,9.005941,3.943195,0.01313222,0.02032696,0.03764596,0.01315314,0.01354952,142.0619,6.874724,9.0533,7.661406,6.885841,7.030264
0.1,76.62282,0.1323007,0.1293509,0.1313606,19.81281,8.900735,9.546763,9.075682,8.899278,9.000956,2.09008,0.01313226,0.01507586,0.0263446,0.01315316,0.01340733,58.92298,6.874745,7.776131,7.256562,6.885849,7.004072
0.1,76.62177,0.1315402,0.1283106,0.1304115,30.74783,8.900742,9.724087,9.08464,8.899372,8.99559,0.2467487,0.01313228,0.01499205,0.0155675,0.01315334,0.01339322,59.05185,6.874752,7.737484,7.250301,6.885933,6.997514
0.1,76.62212,0.1312583,0.1284887,0.1305182,17.74183,8.90078,9.513169,9.065098,8.899341,9.004036,3.083512,0.01313235,0.01485975,0.03153712,0.01315328,0.01341203,65.86379,6.874786,7.678332,7.277952,6.885905,7.006343
0.1,76.62236,0.1332529,0.129711,0.1322347,23.25992,8.900781,10.64283,9.127278,8.899327,9.041082,4.203913,0.01313235,0.0233619,0.04486237,0.01315326,0.013689,93.40781,6.874787,10.43064,7.616932,6.885894,7.092399
0.1,76.62167,0.1320501,0.1291263,0.1310822,44.96893,8.900814,9.806773,9.073512,8.899381,8.998676,1.27566,0.01313241,0.02124165,0.01553021,0.01315336,0.01354172,126.7818,6.874815,9.23897,7.204308,6.885941,7.023055
0.1,76.62219,0.1322756,0.1290946,0.1310515,27.84064,8.900823,9.753474,9.104039,8.899334,9.000611,2.932224,0.01313243,0.01791443,0.03694765,0.01315327,0.01351186,114.6426,6.874823,8.102847,7.657822,6.885899,7.01503
0.1,76.62268,0.1322038,0.1291,0.1311966,41.28829,8.900837,9.597562,9.088197,8.89929,9.006744,1.892733,0.01313246,0.0146566,0.02295733,0.01315319,0.01341348,121.8356,6.874836,7.584365,7.299698,6.88586,7.007045
0.1,76.62196,0.13136,0.127782,0.1302101,17.90521,8.90085,10.14021,9.113945,8.899355,9.024571,0.08988927,0.01313248,0.02121062,0.0147533,0.01315331,0.01361221,25.27234,6.874847,9.454794,7.222213,6.885917,7.058479
0.1,76.62186,0.1327559,0.1298952,0.1319256,17.56378,8.900862,9.523544,9.067957,8.899364,9.000735,1.42836,0.01313251,0.01504109,0.02311498,0.01315333,0.01340641,56.9826,6.874858,7.757712,7.281567,6.885925,7.003577
0.1,76.62151,0.1315145,0.1284029,0.1302805,32.99838,8.900921,9.580597,9.097697,8.899395,8.995881,3.578809,0.01313262,0.01882729,0.0354394,0.01315339,0.01350712,133.8765,6.87491,8.39835,7.546237,6.885953,7.01123
0.1,76.62233,0.1330116,0.1293511,0.131281,16.3694,8.900946,9.415964,9.131545,8.899321,8.99688,2.1168,0.01313266,0.01454409,0.0295772,0.01315324,0.01338928,37.92064,6.874932,7.531677,7.307284,6.885887,6.995764
0.1,76.62216,0.1327636,0.1295979,0.131461,22.29594,8.900957,9.415711,9.098348,8.899337,8.994347,1.434853,0.01313269,0.01450971,0.02495117,0.01315328,0.01338438,67.27559,6.874942,7.516088,7.384792,6.885902,6.993501
0.1,76.62171,0.1314686,0.1286937,0.1312236,12.15843,8.901041,11.01083,9.061232,8.899378,9.042153,0.03658239,0.01313285,0.03238375,0.01393162,0.01315335,0.01393083,14.22513,6.875017,12.36081,7.123106,6.885938,7.126321
