PMMA AvgEnergyPrim DLET DLETPrim DLETProt TLET TLETPrim TLETProt dZ2Beta2 dZ2Beta2Prim dZ2Beta2Prot dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.38 2.396959e+00 6.083612e+02 2.057920e+02 1.908519e+02 1.507235e+02 1.677673e+02 1.448088e+02 4.134825e+03 3.677809e+02 3.352813e+02 1.428600e+03 3.615026e+02 3.297940e+02 1.158181e+01 2.705318e+02 2.269032e+02
4.38 2.605376e+00 2.359382e+02 2.529294e+02 2.359382e+02 1.424486e+02 1.717874e+02 1.424486e+02 8.092070e+02 8.858172e+02 8.092070e+02 5.769326e+02 6.284881e+02 5.769326e+02 1.120092e+01 3.387862e+02 2.698965e+02
4.38 2.815626e+00 2.175391e+02 2.200010e+02 2.175391e+02 1.443742e+02 1.583209e+02 1.443742e+02 6.584097e+02 6.682900e+02 6.584097e+02 4.801776e+02 4.835485e+02 4.801776e+02 1.142061e+01 2.885370e+02 2.607496e+02
4.38 3.083834e+00 1.897871e+02 1.997218e+02 1.897871e+02 1.282470e+02 1.460325e+02 1.282470e+02 4.324167e+02 4.636266e+02 4.324167e+02 3.807349e+02 4.067506e+02 3.807349e+02 6.779116e+00 2.370512e+02 2.033944e+02
4.38 2.714193e+00 2.728646e+02 2.849661e+02 2.728646e+02 1.590009e+02 1.850109e+02 1.590009e+02 1.212328e+03 1.286818e+03 1.212328e+03 7.541383e+02 7.966774e+02 7.541383e+02 1.606727e+01 4.280974e+02 3.565847e+02
4.38 2.789523e+00 2.321585e+02 2.132157e+02 2.321585e+02 1.653530e+02 1.602867e+02 1.653530e+02 4.691321e+02 4.019837e+02 4.691321e+02 4.510620e+02 3.919179e+02 4.510620e+02 8.463680e+00 2.619115e+02 2.790904e+02
4.38 2.884819e+00 2.200436e+02 2.294484e+02 2.200436e+02 1.393542e+02 1.609704e+02 1.393542e+02 4.918063e+02 5.158112e+02 4.918063e+02 4.486513e+02 4.703112e+02 4.486513e+02 9.432873e+00 2.728131e+02 2.314314e+02
4.38 2.826153e+00 2.103274e+02 2.189029e+02 2.103274e+02 1.424167e+02 1.601347e+02 1.424167e+02 8.538050e+02 8.988601e+02 8.538050e+02 5.140609e+02 5.395315e+02 5.140609e+02 1.129981e+01 3.227444e+02 2.804991e+02
4.38 2.569435e+00 1.913409e+02 1.995754e+02 1.913409e+02 1.365183e+02 1.606654e+02 1.365183e+02 5.641056e+02 5.954358e+02 5.641056e+02 3.908328e+02 4.109625e+02 3.908328e+02 1.015851e+01 2.861604e+02 2.376765e+02
4.38 2.682676e+00 2.170249e+02 2.218920e+02 2.170249e+02 1.504776e+02 1.646478e+02 1.504776e+02 6.134699e+02 6.308666e+02 6.134699e+02 4.629860e+02 4.754481e+02 4.629860e+02 1.293930e+01 2.972509e+02 2.679050e+02
