PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
3.000 4.694918e+01 3.335557e-02 2.901777e-02 2.947238e-02 5.589975e+01 5.203311e+01 5.389822e+01 4.669185e+01 5.203054e+01 5.226593e+01 1.831026e-01 8.511194e-02 9.221379e-02 6.160278e-02 8.526025e-02 8.592924e-02 5.707147e+01 4.265975e+01 4.574494e+01 2.910371e+01 4.273428e+01 4.303667e+01
3.000 4.694738e+01 3.360937e-02 2.910592e-02 2.961207e-02 6.720527e+01 5.203465e+01 5.761653e+01 4.689694e+01 5.203222e+01 5.237364e+01 2.819504e+00 8.511506e-02 1.715405e-01 1.250050e-01 8.526366e-02 9.211736e-02 1.159754e+02 4.266121e+01 5.820756e+01 3.010807e+01 4.273586e+01 4.358506e+01
3.000 4.694956e+01 3.346874e-02 2.903147e-02 2.945090e-02 5.487057e+01 5.203352e+01 5.356776e+01 4.654405e+01 5.203023e+01 5.223005e+01 8.226398e-01 8.511279e-02 1.118762e-01 7.787899e-02 8.525965e-02 8.773949e-02 5.801652e+01 4.266015e+01 4.661356e+01 2.892177e+01 4.273400e+01 4.309394e+01
3.000 4.694847e+01 3.342726e-02 2.895284e-02 2.945962e-02 5.870506e+01 5.225693e+01 5.844319e+01 4.658661e+01 5.203121e+01 5.237544e+01 1.780797e-01 8.511185e-02 1.498570e-01 6.111197e-02 8.526161e-02 8.892636e-02 6.360908e+01 4.265971e+01 5.836866e+01 2.902500e+01 4.273491e+01 4.344888e+01
3.000 4.694972e+01 3.348665e-02 2.898995e-02 2.941579e-02 6.304652e+01 5.209097e+01 5.369772e+01 4.654450e+01 5.203010e+01 5.222603e+01 2.001404e-01 8.511251e-02 1.151013e-01 5.986903e-02 8.525938e-02 8.779436e-02 6.976598e+01 4.266002e+01 4.754890e+01 2.876354e+01 4.273387e+01 4.309988e+01
3.000 4.694893e+01 3.338566e-02 2.896490e-02 2.940275e-02 6.956766e+01 5.203352e+01 5.382321e+01 4.679093e+01 5.203081e+01 5.226182e+01 2.485676e+00 8.511277e-02 1.089280e-01 1.077865e-01 8.526080e-02 8.771999e-02 1.337049e+02 4.266014e+01 4.674619e+01 2.996114e+01 4.273453e+01 4.312154e+01
3.000 4.694723e+01 3.348988e-02 2.898060e-02 2.940544e-02 5.349139e+01 5.203507e+01 5.330130e+01 4.659556e+01 5.203233e+01 5.221013e+01 1.020465e-01 8.511587e-02 9.089110e-02 5.827780e-02 8.526385e-02 8.575327e-02 4.810936e+01 4.266159e+01 4.495394e+01 2.882145e+01 4.273595e+01 4.295184e+01
3.000 4.694751e+01 3.330823e-02 2.890417e-02 2.933291e-02 6.899462e+01 5.233869e+01 5.369148e+01 4.670011e+01 5.203206e+01 5.223437e+01 7.698633e-01 8.511538e-02 1.121176e-01 7.086357e-02 8.526331e-02 8.778074e-02 9.275843e+01 4.266136e+01 4.669638e+01 2.914631e+01 4.273570e+01 4.310115e+01
3.000 4.694755e+01 3.356180e-02 2.890550e-02 2.937629e-02 9.088574e+01 5.203526e+01 5.481711e+01 4.685396e+01 5.203202e+01 5.230789e+01 2.065599e+00 8.511625e-02 1.167524e-01 9.302556e-02 8.526322e-02 8.801802e-02 1.628842e+02 4.266176e+01 4.889706e+01 2.979699e+01 4.273566e+01 4.321594e+01
3.000 4.694744e+01 3.338848e-02 2.899329e-02 2.940722e-02 5.699489e+01 5.203449e+01 5.342434e+01 4.659977e+01 5.203212e+01 5.220668e+01 8.949349e-01 8.511470e-02 1.132969e-01 7.910038e-02 8.526341e-02 8.769103e-02 6.443432e+01 4.266104e+01 4.690656e+01 2.907581e+01 4.273575e+01 4.306637e+01
