PMMA AvgEnergyPrim Dose DosePrim DoseProt DLET DLETPrim DLETProt TLET TLETPrim TLETProt dQ dQPrim dQProt tQ tQPrim tQProt dZeff2Beta2 dZeff2Beta2Prim dZeff2Beta2Prot tZeff2Beta2 tZeff2Beta2Prim tZeff2Beta2Prot
4.31 3.462267e+00 1.440075e-03 1.406275e-03 1.427751e-03 2.348904e+02 2.191446e+02 2.188376e+02 1.442258e+02 1.435620e+02 1.430456e+02 1.929003e+00 1.698064e+00 1.684266e+00 2.178044e-01 8.683856e-01 8.597959e-01 5.799420e+02 5.266379e+02 5.240916e+02 6.827348e+01 2.729689e+02 2.713187e+02
4.31 3.405397e+00 1.438188e-03 1.398974e-03 1.437671e-03 2.181311e+02 2.171181e+02 2.181311e+02 1.443622e+02 1.445052e+02 1.443622e+02 1.786453e+00 1.777221e+00 1.786453e+00 2.274121e-01 9.223258e-01 9.238821e-01 5.340649e+02 5.307968e+02 5.340649e+02 6.884352e+01 2.793303e+02 2.796831e+02
4.31 3.462859e+00 1.477953e-03 1.461301e-03 1.477216e-03 2.205832e+02 2.212083e+02 2.205832e+02 1.441323e+02 1.450199e+02 1.441323e+02 1.698306e+00 1.710573e+00 1.698306e+00 2.217424e-01 8.791571e-01 8.691844e-01 5.287953e+02 5.316619e+02 5.287953e+02 7.003725e+01 2.769273e+02 2.745315e+02
4.31 3.437428e+00 1.490621e-03 1.476356e-03 1.490618e-03 2.176554e+02 2.176063e+02 2.176554e+02 1.419475e+02 1.429573e+02 1.419475e+02 1.700064e+00 1.683329e+00 1.700064e+00 2.226806e-01 8.525040e-01 8.543691e-01 5.263829e+02 5.240719e+02 5.263829e+02 7.017996e+01 2.703748e+02 2.692628e+02
4.31 3.336341e+00 1.550869e-03 1.523961e-03 1.550869e-03 2.295273e+02 2.299582e+02 2.295273e+02 1.484964e+02 1.494443e+02 1.484964e+02 1.944102e+00 1.963253e+00 1.944102e+00 2.479436e-01 1.016486e+00 1.001508e+00 5.777750e+02 5.810948e+02 5.777750e+02 7.345851e+01 2.996804e+02 2.967179e+02
4.31 3.412520e+00 1.531428e-03 1.501916e-03 1.526784e-03 2.275443e+02 2.267338e+02 2.275443e+02 1.460245e+02 1.459522e+02 1.460245e+02 2.079164e+00 2.067365e+00 2.079164e+00 2.633925e-01 1.040034e+00 1.044834e+00 5.939484e+02 5.908009e+02 5.939484e+02 7.494866e+01 2.964397e+02 2.973090e+02
4.31 3.423465e+00 1.496212e-03 1.399947e-03 1.427527e-03 4.479082e+02 2.227673e+02 2.235342e+02 1.511014e+02 1.454090e+02 1.451999e+02 5.550059e+00 1.659014e+00 1.650319e+00 2.304258e-01 8.525510e-01 8.456464e-01 1.123547e+03 5.291515e+02 5.293749e+02 7.173138e+01 2.749529e+02 2.741973e+02
4.31 3.397397e+00 1.432967e-03 1.402382e-03 1.432967e-03 2.146828e+02 2.147611e+02 2.146828e+02 1.431087e+02 1.441291e+02 1.431087e+02 1.567151e+00 1.555435e+00 1.567151e+00 2.025604e-01 8.109370e-01 8.108278e-01 5.002973e+02 4.987771e+02 5.002973e+02 6.631866e+01 2.667934e+02 2.654666e+02
4.31 3.239858e+00 1.520040e-03 1.497670e-03 1.520040e-03 2.249716e+02 2.253409e+02 2.249716e+02 1.498871e+02 1.506785e+02 1.498871e+02 1.864387e+00 1.879485e+00 1.864387e+00 2.427346e-01 9.997416e-01 9.875981e-01 5.551075e+02 5.576757e+02 5.551075e+02 7.260080e+01 2.977922e+02 2.953860e+02
4.31 3.459160e+00 1.497769e-03 1.463729e-03 1.497769e-03 2.145754e+02 2.125873e+02 2.145754e+02 1.410004e+02 1.415945e+02 1.410004e+02 1.651826e+00 1.627005e+00 1.651826e+00 2.119972e-01 8.314081e-01 8.341233e-01 5.132015e+02 5.055952e+02 5.132015e+02 6.737971e+01 2.650306e+02 2.651119e+02
4.31 3.394794e+00 1.462499e-03 1.425244e-03 1.462499e-03 2.226871e+02 2.220712e+02 2.226871e+02 1.435435e+02 1.446073e+02 1.435435e+02 2.035917e+00 2.054073e+00 2.035917e+00 2.527731e-01 1.050114e+00 1.030593e+00 5.760642e+02 5.767043e+02 5.760642e+02 7.135338e+01 2.940852e+02 2.909182e+02
4.31 3.394045e+00 1.487386e-03 1.460946e-03 1.487386e-03 2.178266e+02 2.177049e+02 2.178266e+02 1.435563e+02 1.436322e+02 1.435563e+02 1.663971e+00 1.678186e+00 1.663971e+00 2.035946e-01 8.498409e-01 8.434330e-01 5.226844e+02 5.248133e+02 5.226844e+02 6.528732e+01 2.711908e+02 2.704663e+02
